playerID,Season,Lg,G,AB,H,2B,3B,HR,BB,SO,HBP,SF,birthYear,Age,PA,BA,OBP,SLG,OPS,LgAvgOPS,OPS_plus_lg
fowlede01,2018,NL,90,289,52,10,0,8,38,75.0,3.0,4.0,1986.0,32.0,334.0,0.17993079584775087,0.27844311377245506,0.2975778546712803,0.5760209684437354,0.7433575999856135,77.48908041767292
fowlede01,2019,NL,150,487,116,24,1,19,74,142.0,8.0,4.0,1986.0,33.0,573.0,0.23819301848049282,0.34554973821989526,0.4086242299794661,0.7541739681993613,0.7781836944417571,96.91464542191166
fowledu01,2018,AL,69,192,43,3,2,6,8,47.0,1.0,2.0,1994.0,24.0,203.0,0.22395833333333334,0.2561576354679803,0.3541666666666667,0.610324302134647,0.7340886900182475,83.14040393667909
foxan01,1996,AL,113,189,37,4,0,3,20,28.0,1.0,0.0,1971.0,25.0,210.0,0.19576719576719576,0.2761904761904762,0.26455026455026454,0.5407407407407407,0.791025298115981,68.3594749786949
foxan01,1998,NL,139,502,139,21,6,9,43,97.0,18.0,1.0,1971.0,27.0,564.0,0.27689243027888444,0.3546099290780142,0.39641434262948205,0.7510242717074962,0.7566591876555356,99.25529009097228
foxan01,1999,NL,99,274,70,12,2,6,33,61.0,9.0,3.0,1971.0,28.0,319.0,0.25547445255474455,0.3510971786833856,0.3795620437956204,0.730659222479006,0.791109209206504,92.358831622232
foxan01,2000,NL,100,250,58,8,2,4,22,53.0,3.0,0.0,1971.0,29.0,275.0,0.232,0.3018181818181818,0.328,0.6298181818181818,0.8017086460017242,78.55948479029216
foxan01,2002,NL,133,435,109,14,5,4,49,94.0,10.0,3.0,1971.0,31.0,497.0,0.25057471264367814,0.3380281690140845,0.3333333333333333,0.6713615023474178,0.7613313059607093,88.18256875700646
foxja02,2009,NL,82,216,56,12,0,11,14,47.0,5.0,6.0,1982.0,27.0,241.0,0.25925925925925924,0.3112033195020747,0.4675925925925926,0.7787959120946673,0.7600641164075329,102.46450204433684
foxja02,2010,AL,77,198,43,10,1,7,8,49.0,4.0,1.0,1982.0,28.0,211.0,0.21717171717171718,0.26066350710900477,0.3838383838383838,0.6445018909473885,0.739903247174629,87.10623901279835
fraleja01,2021,AL,78,214,45,7,0,9,46,71.0,2.0,2.0,1995.0,26.0,264.0,0.2102803738317757,0.3522727272727273,0.3691588785046729,0.7214316057774002,0.7349183852752843,98.16486023916353
francbe01,2008,AL,121,447,119,32,0,15,40,86.0,6.0,4.0,1981.0,27.0,497.0,0.2662192393736018,0.3319919517102616,0.43847874720357943,0.770470698913841,0.7577607605494875,101.67730226029875
francbe01,2009,AL,89,308,77,21,1,10,33,59.0,8.0,2.0,1981.0,28.0,351.0,0.25,0.33618233618233617,0.42207792207792205,0.7582602582602582,0.7651080828848545,99.10498597808868
francbe01,2011,NL,100,250,61,10,1,6,33,42.0,5.0,3.0,1981.0,30.0,291.0,0.244,0.3402061855670103,0.364,0.7042061855670103,0.7330934827455214,96.05953430791325
francje02,2005,NL,70,257,77,20,1,14,11,58.0,4.0,2.0,1984.0,21.0,274.0,0.29961089494163423,0.3357664233576642,0.5486381322957199,0.8844045556533842,0.7689117060276596,115.02030060413335
francje02,2006,NL,162,651,169,24,6,29,23,132.0,9.0,3.0,1984.0,22.0,686.0,0.25960061443932414,0.29300291545189505,0.4485407066052227,0.7415436220571178,0.79114311498106,93.73065479750403
francje02,2007,NL,162,642,188,40,0,19,42,129.0,5.0,7.0,1984.0,23.0,696.0,0.29283489096573206,0.33764367816091956,0.4439252336448598,0.7815689118057794,0.7775358673365453,100.51869561761173
francje02,2008,NL,155,599,143,33,3,11,39,111.0,10.0,4.0,1984.0,24.0,652.0,0.2387312186978297,0.294478527607362,0.3589315525876461,0.653410080195008,0.768506138502541,85.02340416801336
francje02,2009,NL,157,593,166,32,4,15,23,92.0,6.0,9.0,1984.0,25.0,631.0,0.2799325463743676,0.3090332805071315,0.42327150084317033,0.7323047813503019,0.7600641164075329,96.34776402964049
francje02,2010,NL,124,401,95,16,2,11,29,76.0,7.0,10.0,1984.0,26.0,447.0,0.23690773067331672,0.2930648769574944,0.3690773067331671,0.6621421836906615,0.7457673180159473,88.78669897364722
francje02,2011,AL,153,601,171,47,4,20,37,123.0,8.0,10.0,1984.0,27.0,656.0,0.28452579034941766,0.32926829268292684,0.47587354409317806,0.805141836776105,0.729092039014665,110.43075410125418
francje02,2012,AL,148,561,132,26,3,16,34,119.0,7.0,1.0,1984.0,28.0,603.0,0.23529411764705882,0.28689883913764513,0.3778966131907308,0.6647954523283759,0.7394681883190887,89.90183253718406
francje02,2015,NL,119,326,84,16,1,13,13,77.0,1.0,3.0,1984.0,31.0,343.0,0.25766871165644173,0.2857142857142857,0.4325153374233129,0.7182296231375986,0.7377869528344596,97.34919008506117
francje02,2016,NL,125,307,78,15,1,7,20,90.0,0.0,3.0,1984.0,32.0,330.0,0.254071661237785,0.296969696969697,0.3778501628664495,0.6748198598361466,0.7523027787586992,89.70056723033781
